original_index,location_name,latitude,longitude,city,state
67,Township of Chesaning,43.1752,-84.10738,Chesaning,michigan
67,Santa Fe Province,-31.0,-61.0,Chesaning,michigan
69,Little Rock,34.74648,-92.28959,Clarkston,michigan
77,Shoefelt Gulch,45.59549,-110.91078,Clyde township,michigan
80,City of Oak Hill,36.07348,-86.78555,Coldwater,michigan
81,Croton,40.23867,-82.69239,Croton,michigan
81,New Croton Dam,41.22648,-73.85541,Croton,michigan
84,Williamston,35.8546,-77.05551,Dansville,michigan
85,Davison County,43.67474,-98.146,Davison,michigan
89,Dearborn County,39.14519,-84.97326,Dearborn,michigan
90,Dearborn County,39.14519,-84.97326,Dearborn,michigan
96,Dearborn Heights,42.33698,-83.27326,Dearborn Heights,michigan
97,Dearborn Heights,42.33698,-83.27326,Dearborn Heights,michigan
98,Dearborn Heights,42.33698,-83.27326,Dearborn Heights,michigan
99,Dearborn Heights,42.33698,-83.27326,Dearborn Heights,michigan
100,Dearborn Heights,42.33698,-83.27326,Dearborn Heights,michigan
101,Dearborn Heights,42.33698,-83.27326,Dearborn Heights,michigan
102,Silvery Cemetery,30.46352,-91.28122,Dearborn Heights,michigan
102,Dearborn Heights,42.33698,-83.27326,Dearborn Heights,michigan
103,Cass County,38.647,-94.35482,Decatur,michigan
106,Town of Detroit,44.76238,-69.31131,Detroit,michigan
107,Town of Detroit,44.76238,-69.31131,Detroit,michigan
108,Town of Detroit,44.76238,-69.31131,Detroit,michigan
110,Town of Detroit,44.76238,-69.31131,Detroit,michigan
111,Town of Detroit,44.76238,-69.31131,Detroit,michigan
112,Canada,60.10867,-113.64258,Detroit,michigan
112,Tunnel City,44.00719,-90.56569,Detroit,michigan
114,Town of Detroit,44.76238,-69.31131,Detroit,michigan
117,Town of Detroit,44.76238,-69.31131,Detroit,michigan
119,Huron River,41.3981,-82.54906,Dexter,michigan
122,Town of Rochester,41.75998,-70.83849,Dryden,michigan
122,Casey County,37.32228,-84.92837,Dryden,michigan
122,Dryden,36.77759,-82.94155,Dryden,michigan
124,Lake Breeze Church,41.47199,-82.11404,Eagle Harbor,michigan
125,Fairchild Air Force Base,47.61879,-117.64826,East Lansing,michigan
125,East Lansing,42.73698,-84.48387,East Lansing,michigan
126,East Lansing,42.73698,-84.48387,East Lansing,michigan
127,East Lansing,42.73698,-84.48387,East Lansing,michigan
128,East Lansing,42.73698,-84.48387,East Lansing,michigan
129,Mason Hall,18.39662,-76.92063,East Lansing,michigan
129,East Lansing,42.73698,-84.48387,East Lansing,michigan
130,East Lansing,42.73698,-84.48387,East Lansing,michigan
131,East Lansing,42.73698,-84.48387,East Lansing,michigan
132,East Lansing,42.73698,-84.48387,East Lansing,michigan
133,East Lansing,42.73698,-84.48387,East Lansing,michigan
134,East Leroy,42.16616,-85.21749,East Leroy,michigan
139,Muskegon River,43.2614,-86.24812,Evart,michigan
141,Grand River,40.81944,-93.96245,Farmington Hills,michigan
143,Bartın,41.58333,32.5,Fenton,michigan
149,Town of Capitol Heights,38.87695,-76.90746,Flint,michigan
154,Graves County,36.72314,-88.65121,Forester,michigan
155,Township of Forester,43.53013,-82.6063,Forester,michigan
156,Lake Huron Highland,44.24312,-81.60595,Forester,michigan
156,Salt Lake City,40.76078,-111.89105,Forester,michigan
157,Forestville,39.07506,-84.34494,Forestville,michigan
160,Freeland,43.52503,-84.12276,Freeland,michigan
162,Fremont County,38.47297,-105.43966,Fremont,michigan
164,Garden City,37.97169,-100.87266,Garden City,michigan
165,Garden City,37.97169,-100.87266,Garden City,michigan
166,Garden City,37.97169,-100.87266,Garden City,michigan
167,Garden City,37.97169,-100.87266,Garden City,michigan
167,City of Cambridge,42.37582,-71.1184,Garden City,michigan
168,Garden City,37.97169,-100.87266,Garden City,michigan
168,Garden City Park,40.74093,-73.66263,Garden City,michigan
169,Garden City,37.97169,-100.87266,Garden City,michigan
171,North Bluff Election Precinct,40.91839,-96.62241,Gladstone,michigan
173,Grand Blanc,42.92753,-83.62995,Grand Blanc,michigan
174,Grand Blanc,42.92753,-83.62995,Grand Blanc,michigan
175,Grand Haven,43.06307,-86.22839,Grand Haven,michigan
177,Lake Forest,33.64697,-117.68922,Grand Haven,michigan
177,Grand Duchy of Luxembourg,49.75,6.16667,Grand Haven,michigan
177,Grand Haven,43.06307,-86.22839,Grand Haven,michigan
178,Grand Ledge,42.75337,-84.74638,Grand Ledge,michigan
179,Grand Rapids,42.96336,-85.66809,Grand Rapids,michigan
180,Grand Rapids,42.96336,-85.66809,Grand Rapids,michigan
181,Grand Rapids,42.96336,-85.66809,Grand Rapids,michigan
182,Grand Rapids,42.96336,-85.66809,Grand Rapids,michigan
185,Grand Rapids,42.96336,-85.66809,Grand Rapids,michigan
186,Grand Rapids,42.96336,-85.66809,Grand Rapids,michigan
187,Grand Rapids,42.96336,-85.66809,Grand Rapids,michigan
188,Grand Rapids,42.96336,-85.66809,Grand Rapids,michigan
188,Ottawa Hills,41.66422,-83.64327,Grand Rapids,michigan
189,Grand Rapids,42.96336,-85.66809,Grand Rapids,michigan
190,Grand Rapids,42.96336,-85.66809,Grand Rapids,michigan
191,Grand Rapids,42.96336,-85.66809,Grand Rapids,michigan
191,Town of Thornapple,45.45177,-91.22253,Grand Rapids,michigan
192,Grand Rapids,42.96336,-85.66809,Grand Rapids,michigan
193,Monroe County,43.16512,-77.63626,Grand Traverse County,michigan
193,Grand Traverse County,44.71624,-85.5522,Grand Traverse County,michigan
200,Greenville County,34.89431,-82.37072,Greenville,michigan
201,Town of Detroit,44.76238,-69.31131,Grosse Ile,michigan
204,Lakeshore Drive Baptist Church,34.72426,-92.34404,Grosse Pointe Shores,michigan
204,Lake St. Andrew,51.7261,-97.38817,Grosse Pointe Shores,michigan
211,Village of Hartland,43.10184,-88.34093,Hartland,michigan
217,Hastings District,-39.63333,176.85,Hastings,michigan
217,Charlton Park,1.35639,103.90139,Hastings,michigan
219,Castle Park,32.61033,-117.06753,Holland,michigan
219,Provincie Zuid-Holland,52.0,4.66667,Holland,michigan
220,Borough of Mount Holly Springs,40.11257,-77.18537,Holly,michigan
227,Michigan,44.25029,-85.50033,Inkster,michigan
228,Interlochen,44.64472,-85.7673,Interlochen,michigan
229,City of Mill Creek,47.86314,-122.20372,Ionia,michigan
229,Ionia County,42.94509,-85.0746,Ionia,michigan
230,City of Oak Hill,36.07348,-86.78555,Ionia,michigan
230,Highland Park,42.18169,-87.80034,Ionia,michigan
231,Iron Lake Campground,44.90548,-114.19396,Iron River,michigan
231,Iron River,46.09273,-88.64235,Iron River,michigan
232,Michigan,44.25029,-85.50033,Jackson,michigan
233,Michigan,44.25029,-85.50033,Jackson,michigan
234,City of Jacob City,30.89265,-85.41059,Jackson,michigan
234,Reynolds County,37.36233,-90.96908,Jackson,michigan
237,Kalamazoo County,42.24545,-85.53118,Kalamazoo,michigan
238,Kalamazoo County,42.24545,-85.53118,Kalamazoo,michigan
241,Kalamazoo County,42.24545,-85.53118,Kalamazoo,michigan
244,Oakwood,39.72534,-84.17411,Kent County,michigan
244,Kent County,39.09595,-75.50461,Kent County,michigan
244,Grand Rapids,42.96336,-85.66809,Kent County,michigan
248,Lawrence Tavern,18.13742,-76.84736,Kewadin,michigan
249,Kingsford,45.79496,-88.07207,Kingsford,michigan
250,Iron Mountain Lake,37.69311,-90.62262,Kingsford,michigan
250,Kingsford,45.79496,-88.07207,Kingsford,michigan
251,Village of Lake Orion,42.78273,-83.24524,Lake Orion,michigan
252,Monroe Road Bridge,47.91569,-117.49825,Lambertville,michigan
252,Monroe County,43.16512,-77.63626,Lambertville,michigan
252,Toledo District,16.33333,-88.86667,Lambertville,michigan
252,Lambertville,40.36594,-74.94294,Lambertville,michigan
253,Lapeer County,43.09015,-83.22178,Lapeer,michigan
